Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Score
7.56,75.08,94.61,10,5.73,91.65
7.94,89.91,44.06,2,7.69,77.72
1.67,82.5,70.46,8,6.26,73.83
4.23,85.1,93.31,6,5.12,83.26
2.04,89.79,68.77,5,6.26,72.76
8.77,94.5,74.62,9,4.7,96.05
6.61,66.9,78.27,1,4.88,80.68
3.98,68.78,65.0,5,6.49,79.35
1.57,54.7,74.52,6,6.09,58.54
3.8,78.91,72.14,5,8.57,72.12
3.93,51.8,89.56,6,5.81,80.12
7.57,73.28,42.5,6,6.9,83.48
6.74,77.13,55.45,7,7.16,77.32
8.98,64.33,92.27,4,4.07,87.79
5.25,79.54,88.96,8,7.32,87.31
2.08,51.53,65.06,7,4.89,51.59
7.42,51.87,74.11,9,8.81,82.58
7.85,91.13,55.26,7,4.74,79.81
6.05,68.01,50.35,3,6.07,62.54
7.94,56.35,65.5,3,4.43,73.55
5.44,76.11,59.43,8,8.98,81.04
5.7,88.5,72.1,5,6.51,89.09
4.85,60.79,44.28,4,6.98,55.65
1.23,81.14,93.59,8,4.34,78.6
1.97,54.27,94.24,6,7.75,69.13
1.28,52.58,78.4,2,5.05,52.88
6.73,76.57,69.49,4,8.49,84.87
3.83,77.03,57.02,4,5.03,58.03
5.58,81.87,84.76,6,4.95,85.52
9.17,86.3,77.66,6,4.18,94.86
3.24,98.79,48.94,1,6.36,63.5
4.69,75.82,90.1,8,6.82,87.19
7.8,66.15,85.24,6,4.33,99.28
3.06,89.76,92.24,3,7.88,74.62
1.69,63.54,79.91,9,6.27,66.89
3.61,71.95,73.74,2,6.62,62.93
2.45,53.92,63.0,8,6.2,59.54
9.37,51.27,91.3,10,6.0,95.37
8.27,98.13,87.63,3,6.8,100.0
6.7,91.8,42.49,5,4.78,80.65
8.84,84.8,41.45,6,4.91,77.71
8.23,70.45,60.71,10,8.31,86.82
2.68,58.66,84.58,6,8.73,73.73
9.03,57.82,94.3,4,5.87,88.18
5.85,62.51,48.27,3,5.35,66.03
8.27,77.46,72.68,4,7.22,87.97
9.06,85.73,60.95,1,6.04,74.46
3.86,83.01,93.35,4,4.13,84.8
1.99,64.0,86.32,1,4.78,68.44
3.05,97.74,86.11,1,7.58,71.27
4.84,86.89,65.78,10,7.29,82.06
8.36,77.72,62.82,6,4.14,85.25
8.75,80.59,55.04,5,5.11,84.3
1.06,70.98,43.1,4,5.16,51.0
5.6,62.39,87.56,3,7.36,87.74
4.76,67.8,84.71,1,4.1,67.96
3.0,87.89,94.98,6,4.52,75.24
2.08,50.72,94.82,2,8.0,57.24
4.04,55.8,70.55,8,4.89,66.02
9.49,52.3,82.29,10,7.26,97.18
3.91,52.04,91.96,5,5.19,80.54
5.67,92.77,86.73,7,4.5,85.8
7.33,85.18,53.6,10,5.22,87.04
4.27,73.71,64.78,2,7.61,66.58
9.75,54.89,47.1,8,8.28,90.54
9.66,74.58,92.47,2,8.15,100.0
3.27,73.67,73.34,4,5.99,64.85
5.48,58.66,52.58,1,7.34,58.62
3.71,71.69,76.94,5,5.02,75.58
3.56,69.93,74.0,9,5.47,78.23
1.33,80.79,59.7,1,8.48,64.97
6.49,81.75,46.25,9,4.07,79.81
5.52,52.27,76.94,8,4.43,73.96
1.46,68.73,68.62,6,5.04,63.31
3.51,81.29,82.48,7,4.13,81.64
9.17,75.16,68.61,3,4.91,88.42
3.16,92.82,86.87,1,6.92,75.61
2.3,82.93,70.35,5,6.11,72.36
5.41,58.15,70.85,2,8.46,75.56
9.87,53.53,88.22,5,8.09,100.0
3.18,82.12,62.19,8,5.71,74.37
7.05,51.33,47.37,9,5.3,72.04
7.85,79.29,41.58,2,5.9,71.5
3.14,97.01,81.53,3,6.95,81.26
7.55,78.77,74.12,3,5.34,77.83
4.31,69.41,78.72,1,7.12,70.45
6.69,82.16,51.71,8,6.05,78.14
6.7,72.91,47.5,6,6.76,74.21
5.82,77.28,40.8,8,6.18,78.55
1.81,97.07,59.28,9,5.47,71.29
8.52,69.31,72.45,5,8.74,88.97
3.89,98.06,61.57,3,7.82,65.19
2.68,95.27,64.06,5,4.7,71.55
1.37,59.79,89.73,5,8.34,70.21
6.32,53.47,59.15,5,6.44,80.94
7.1,55.04,68.27,3,8.47,73.93
1.15,50.91,83.1,10,8.0,69.93
5.61,54.72,61.81,4,6.13,68.32
3.04,84.15,74.21,9,4.11,83.15
6.81,53.56,87.43,10,5.34,87.68
2.57,65.95,92.22,9,6.71,79.36
7.22,92.24,48.09,2,7.17,78.36
4.48,51.16,90.96,8,5.29,78.53
9.43,90.72,67.07,8,4.7,93.63
2.24,64.09,54.2,7,8.17,62.47
4.07,55.91,65.25,8,8.92,77.35
2.02,84.84,93.9,3,6.63,67.15
9.32,81.45,67.09,6,4.86,91.0
8.9,93.87,58.08,1,5.36,78.29
3.32,86.75,74.84,7,4.09,80.07
6.94,90.17,53.21,1,8.57,67.91
8.35,64.1,44.17,9,4.59,76.02
6.0,58.87,47.09,1,6.88,62.46
5.77,87.53,47.04,1,5.37,73.23
3.18,90.34,48.35,7,6.77,67.57
1.84,99.53,47.64,2,7.26,55.47
9.07,70.63,75.25,5,8.15,100.0
9.1,68.6,50.0,8,5.03,76.31
6.7,88.82,59.01,8,4.05,71.36
4.05,67.04,89.32,3,4.68,73.59
4.14,96.54,66.07,7,8.5,78.25
7.53,92.92,76.72,3,8.37,84.21
9.07,71.45,49.48,6,6.99,86.47
8.98,87.54,50.58,6,7.0,88.25
8.02,87.73,42.25,3,7.33,73.79
